3469-5400-0000-0011;329;2;2
2469-5400-0000-0021;899;3;3
4469-5400-0000-0035;591;5;5
4469-5400-0000-0043;902;5;5
3469-5400-0000-0052;418;7;7
3469-5400-0000-0060;354;10;10
4469-5400-0000-0076;441;12;12
2469-5400-0000-0088;987;11;11
4469-5400-0000-0092;485;12;12
2469-5400-0000-0104;797;1;1
2469-5400-0000-0112;935;2;2
5469-5400-0000-0123;255;4;4
2469-5400-0000-0138;982;16;16
2469-5400-0000-0146;813;17;17
2469-5400-0000-0153;923;14;14
2469-5400-0000-0161;992;15;15
5469-5400-0000-0172;668;4;4
5469-5400-0000-0180;295;4;4
2469-5400-0000-0195;891;19;19
3469-5400-0000-0201;843;18;18
